Pclass,Sex,Age,Embarked_C,Embarked_Q,Survived
3,1,22.0,0,0,0
1,0,38.0,1,0,1
3,0,26.0,0,0,1
1,0,35.0,0,0,1
3,1,35.0,0,0,0
3,1,42.0,0,1,0
1,1,54.0,0,0,0
3,1,2.0,0,0,0
3,0,27.0,0,0,1
2,0,14.0,1,0,1
3,0,4.0,0,0,1
1,0,58.0,0,0,1
3,1,20.0,0,0,0
3,1,39.0,0,0,0
3,0,14.0,0,0,0
2,0,55.0,0,0,1
3,1,2.0,0,1,0
2,1,42.0,0,0,1
3,0,31.0,0,0,0
3,0,4.574166666666667,1,0,1
2,1,35.0,0,0,0
2,1,34.0,0,0,1
3,0,15.0,0,1,1
1,1,28.0,0,0,1
3,0,8.0,0,0,0
3,0,38.0,0,0,1
3,1,42.0,1,0,0
1,1,19.0,0,0,0
3,0,70.0,0,1,1
3,1,42.0,0,0,0
1,1,40.0,1,0,0
1,0,4.574166666666667,1,0,1
3,0,70.0,0,1,1
2,1,66.0,0,0,0
1,1,28.0,1,0,0
1,1,42.0,0,0,0
3,1,42.0,1,0,1
3,1,21.0,0,0,0
3,0,18.0,0,0,0
3,0,14.0,1,0,1
3,0,40.0,0,0,0
2,0,27.0,0,0,0
3,1,42.0,1,0,0
2,0,3.0,1,0,1
3,0,19.0,0,1,1
3,1,42.0,0,0,0
3,1,42.0,0,1,0
3,0,70.0,0,1,1
3,1,42.0,1,0,0
3,0,18.0,0,0,0
3,1,7.0,0,0,0
3,1,21.0,0,0,0
1,0,49.0,1,0,1
2,0,29.0,0,0,1
1,1,65.0,1,0,0
1,1,42.0,0,0,1
2,0,21.0,0,0,1
3,1,28.5,1,0,0
2,0,5.0,0,0,1
3,1,11.0,0,0,0
3,1,22.0,1,0,0
1,0,38.0,0,0,1
1,1,45.0,0,0,0
3,1,4.0,0,0,0
1,1,42.0,1,0,0
3,1,40.0,1,0,1
2,0,29.0,0,0,1
3,1,19.0,0,0,0
3,0,17.0,0,0,1
3,1,26.0,0,0,0
2,1,32.0,0,0,0
3,0,16.0,0,0,0
2,1,21.0,0,0,0
3,1,26.0,1,0,0
3,1,32.0,0,0,1
3,1,25.0,0,0,0
3,1,42.0,0,0,0
3,1,42.0,0,0,0
2,1,0.83,0,0,1
3,0,30.0,0,0,1
3,1,22.0,0,0,0
3,1,29.0,0,0,1
3,0,70.0,0,1,1
1,1,28.0,0,0,0
2,0,17.0,0,0,1
3,0,33.0,0,0,1
3,1,16.0,0,0,0
3,1,42.0,0,0,0
1,0,23.0,0,0,1
3,1,24.0,0,0,0
3,1,29.0,0,0,0
3,1,20.0,0,0,0
1,1,46.0,0,0,0
3,1,26.0,0,0,0
3,1,59.0,0,0,0
3,1,42.0,0,0,0
1,1,71.0,1,0,0
1,1,23.0,1,0,1
2,0,34.0,0,0,1
2,1,34.0,0,0,0
3,0,28.0,0,0,0
3,1,42.0,0,0,0
1,1,21.0,0,0,0
3,1,33.0,0,0,0
3,1,37.0,0,0,0
3,1,28.0,0,0,0
3,0,21.0,0,0,1
3,1,42.0,0,0,1
3,1,38.0,0,0,0
3,0,70.0,0,1,1
1,1,47.0,0,0,0
3,0,14.5,1,0,0
3,1,22.0,0,0,0
3,0,20.0,0,0,0
3,0,17.0,1,0,0
3,1,21.0,0,0,0
3,1,70.5,0,1,0
2,1,29.0,0,0,0
1,1,24.0,1,0,0
3,0,2.0,0,0,0
2,1,21.0,0,0,0
3,1,42.0,0,0,0
2,1,32.5,1,0,0
2,0,32.5,0,0,1
1,1,54.0,0,0,0
3,1,12.0,1,0,1
3,1,42.0,0,1,0
3,1,24.0,0,0,1
3,0,70.0,1,0,1
3,1,45.0,0,0,0
3,1,33.0,1,0,0
3,1,20.0,0,0,0
3,0,47.0,0,0,0
2,0,29.0,0,0,1
2,1,25.0,0,0,0
2,1,23.0,1,0,0
1,0,19.0,0,0,1
1,1,37.0,0,0,0
3,1,16.0,0,0,0
1,1,24.0,1,0,0
3,0,4.574166666666667,1,0,0
3,0,22.0,0,0,1
3,0,24.0,0,0,1
3,1,19.0,0,1,0
2,1,18.0,0,0,0
2,1,19.0,0,0,0
3,1,27.0,0,0,1
3,0,9.0,0,0,0
2,1,36.5,0,0,0
2,1,42.0,0,0,0
2,1,51.0,0,0,0
1,0,22.0,0,0,1
3,1,55.5,0,0,0
3,1,40.5,0,0,0
3,1,42.0,0,0,0
1,1,51.0,1,0,0
3,0,16.0,0,1,1
3,1,30.0,0,0,0
3,1,42.0,0,0,0
3,1,40.0,0,0,0
3,1,44.0,0,0,0
2,0,40.0,0,0,1
3,1,26.0,0,0,0
3,1,17.0,0,0,0
3,1,1.0,0,0,0
3,1,9.0,0,0,1
1,0,4.574166666666667,0,0,1
3,0,45.0,0,0,0
1,1,42.0,0,0,0
3,1,28.0,0,0,0
1,1,61.0,0,0,0
3,1,4.0,0,1,0
3,0,1.0,0,0,1
3,1,21.0,0,0,0
1,1,56.0,1,0,0
3,1,18.0,0,0,0
3,1,40.0,0,0,0
1,0,50.0,1,0,0
2,1,30.0,0,0,0
3,1,36.0,0,0,0
3,0,70.0,0,0,0
2,1,42.0,1,0,0
3,1,9.0,0,0,0
2,1,1.0,0,0,1
3,0,4.0,0,0,1
1,1,42.0,0,0,0
3,0,4.574166666666667,0,1,1
1,1,45.0,0,0,1
3,1,40.0,0,1,0
3,1,36.0,0,0,0
2,0,32.0,0,0,1
2,1,19.0,0,0,0
3,0,19.0,0,0,1
2,1,3.0,0,0,1
1,0,44.0,1,0,1
1,0,58.0,1,0,1
3,1,42.0,0,1,0
3,1,42.0,0,0,0
3,0,70.0,0,1,1
2,0,24.0,0,0,0
3,1,28.0,0,0,0
3,1,42.0,0,0,0
3,1,34.0,0,0,0
3,1,45.5,1,0,0
3,1,18.0,0,0,1
3,0,2.0,0,0,0
3,1,32.0,0,0,0
3,1,26.0,1,0,1
3,0,16.0,0,1,1
1,1,40.0,1,0,1
3,1,24.0,0,0,0
2,0,35.0,0,0,1
3,1,22.0,0,0,0
2,1,30.0,0,0,0
3,1,42.0,0,1,0
1,0,31.0,1,0,1
3,0,27.0,0,0,1
2,1,42.0,0,0,0
1,0,32.0,1,0,1
2,1,30.0,0,0,0
3,1,16.0,0,0,1
2,1,27.0,0,0,0
3,1,51.0,0,0,0
3,1,42.0,0,0,0
1,1,38.0,0,0,1
3,1,22.0,0,0,0
2,1,19.0,0,0,1
3,1,20.5,0,0,0
2,1,18.0,0,0,0
3,0,70.0,0,0,0
1,0,35.0,0,0,1
3,1,29.0,0,0,0
2,1,59.0,0,0,0
3,0,5.0,0,0,1
2,1,24.0,0,0,0
3,0,70.0,0,0,0
2,1,44.0,0,0,0
2,0,8.0,0,0,1
2,1,19.0,0,0,0
2,1,33.0,0,0,0
3,0,70.0,1,0,0
3,0,70.0,0,1,1
2,1,29.0,0,0,0
3,1,22.0,0,0,0
3,1,30.0,1,0,0
1,1,44.0,0,1,0
3,0,25.0,0,0,0
2,0,24.0,0,0,1
1,1,37.0,0,0,1
2,1,54.0,0,0,0
3,1,42.0,0,0,0
3,0,29.0,0,0,0
1,1,62.0,0,0,0
3,1,30.0,0,0,0
3,0,41.0,0,0,0
3,0,29.0,1,0,1
1,0,4.574166666666667,1,0,1
1,0,30.0,0,0,1
1,0,35.0,1,0,1
2,0,50.0,0,0,1
3,1,42.0,0,1,0
3,1,3.0,0,0,1
1,1,52.0,0,0,0
1,1,40.0,0,0,0
3,0,70.0,0,1,0
2,1,36.0,0,0,0
3,1,16.0,0,0,0
3,1,25.0,0,0,1
1,0,58.0,0,0,1
1,0,35.0,0,0,1
1,1,42.0,0,0,0
3,1,25.0,0,0,1
2,0,41.0,0,0,1
1,1,37.0,1,0,0
3,0,70.0,0,1,1
1,0,63.0,0,0,1
3,0,45.0,0,0,0
2,1,42.0,0,0,0
3,1,7.0,0,1,0
3,0,35.0,0,0,1
3,1,65.0,0,1,0
3,1,28.0,0,0,0
3,1,16.0,0,0,0
3,1,19.0,0,0,1
1,1,42.0,0,0,0
3,1,33.0,1,0,0
3,1,30.0,0,0,1
3,1,22.0,0,0,0
2,1,42.0,0,0,1
3,0,22.0,0,1,1
1,0,26.0,0,0,1
1,0,19.0,1,0,1
2,1,36.0,1,0,0
3,0,24.0,0,0,0
3,1,24.0,0,0,0
1,1,42.0,1,0,0
3,1,23.5,1,0,0
1,0,2.0,0,0,0
1,1,42.0,0,0,1
1,0,50.0,1,0,1
3,0,70.0,0,1,1
3,1,42.0,0,1,1
3,1,19.0,0,0,0
2,0,70.0,0,1,1
3,1,42.0,0,0,0
1,1,0.92,0,0,1
1,0,70.0,1,0,1
1,0,17.0,1,0,1
2,1,30.0,1,0,0
1,0,30.0,1,0,1
1,0,24.0,1,0,1
1,0,18.0,1,0,1
2,0,26.0,0,0,0
3,1,28.0,0,0,0
2,1,43.0,0,0,0
3,0,26.0,0,0,1
2,0,24.0,0,0,1
2,1,54.0,0,0,0
1,0,31.0,0,0,1
1,0,40.0,1,0,1
3,1,22.0,0,0,0
3,1,27.0,0,0,0
2,0,30.0,0,1,1
2,0,22.0,0,0,1
3,1,42.0,0,0,0
1,0,36.0,1,0,1
3,1,61.0,0,0,0
2,0,36.0,0,0,1
3,0,31.0,0,0,1
1,0,16.0,1,0,1
3,0,70.0,0,1,1
1,1,45.5,0,0,0
1,1,38.0,0,0,0
3,1,16.0,0,0,0
1,0,4.574166666666667,0,0,1
3,1,42.0,0,0,0
1,1,29.0,0,0,0
1,0,41.0,1,0,1
3,1,45.0,0,0,1
1,1,45.0,0,0,0
2,1,2.0,0,0,1
1,0,24.0,0,0,1
2,1,28.0,0,0,0
2,1,25.0,0,0,0
2,1,36.0,0,0,0
2,0,24.0,0,0,1
2,0,40.0,0,0,1
3,0,4.574166666666667,0,0,1
3,1,3.0,0,0,1
3,1,42.0,0,0,0
3,1,23.0,0,0,0
1,1,42.0,0,0,0
3,1,15.0,1,0,0
3,1,25.0,0,0,0
3,1,42.0,1,0,0
3,1,28.0,0,0,0
1,0,22.0,0,0,1
2,0,38.0,0,0,0
3,0,70.0,0,1,1
3,0,70.0,0,1,1
3,1,40.0,0,0,0
2,1,29.0,1,0,0
3,0,45.0,1,0,0
3,1,35.0,0,0,0
3,1,42.0,0,1,0
3,1,30.0,0,0,0
1,0,60.0,1,0,1
3,0,4.574166666666667,1,0,1
3,0,70.0,0,1,1
1,0,24.0,1,0,1
1,1,25.0,1,0,1
3,1,18.0,0,0,0
3,1,19.0,0,0,0
1,1,22.0,1,0,0
3,0,3.0,0,0,0
1,0,4.574166666666667,1,0,1
3,0,22.0,0,0,1
1,1,27.0,1,0,0
3,1,20.0,1,0,0
3,1,19.0,0,0,0
1,0,42.0,1,0,1
3,0,1.0,1,0,1
3,1,32.0,0,0,0
1,0,35.0,0,0,1
3,1,42.0,0,0,0
2,1,18.0,0,0,0
3,1,1.0,0,0,0
2,0,36.0,0,0,1
3,1,42.0,0,1,0
2,0,17.0,1,0,1
1,1,36.0,0,0,1
3,1,21.0,0,0,1
3,1,28.0,0,0,0
1,0,23.0,1,0,1
3,0,24.0,0,0,1
3,1,22.0,0,0,0
